Results from heasarc_fermigtrig: Fermi GBM Trigger Catalog
Coordinate system: Equatorial
|trigger_name|name          |ra        |dec      |time                   |end_time               |trigger_time           |trigger_type|reliability|
|bn240310563 |TGF240310563  |21 24 43.9|-49 10 00|2024-03-10 13:27:51.319|2024-03-10 13:38:05.729|2024-03-10 13:30:07.705|TGF         |     1.0000|
|bn240812378 |LOCLPAR2408123|14 55 28.1|-48 47 00|2024-08-12 09:01:23.611|2024-08-12 09:06:10.337|2024-08-12 09:03:40.830|LOCLPAR     |     1.0000|
|bn240215828 |GRB240215828  |20 38 04.8|-48 44 24|2024-02-15 19:49:27.652|2024-02-15 19:59:42.063|2024-02-15 19:51:43.846|GRB         |     1.0000|
|bn240924767 |TGF240924767  |10 48 36.0|-48 30 00|2024-09-24 18:21:46.001|2024-09-24 18:32:00.411|2024-09-24 18:24:04.819|TGF         |     1.0000|
|bn240516572 |UNCERT24051657|22 17 04.1|-48 28 00|2024-05-16 13:41:54.953|2024-05-16 13:51:36.594|2024-05-16 13:44:10.123|UNCERT      |     1.0000|
|bn241020671 |LOCLPAR2410206|17 09 40.1|-47 42 00|2024-10-20 16:03:32.467|2024-10-20 16:13:46.880|2024-10-20 16:05:45.589|LOCLPAR     |     1.0000|
|bn240831836 |TGF240831836  |21 21 00.0|-47 40 00|2024-08-31 20:01:28.310|2024-08-31 20:10:53.568|2024-08-31 20:03:43.080|TGF         |     1.0000|
|bn240512165 |DISTPAR2405121|12 20 21.6|-47 20 24|2024-05-12 03:55:35.509|2024-05-12 04:05:49.921|2024-05-12 03:57:52.727|DISTPAR     |     1.0000|
|bn240511235 |LOCLPAR2405112|09 49 40.1|-47 00 00|2024-05-11 05:36:36.354|2024-05-11 05:46:50.766|2024-05-11 05:38:48.452|LOCLPAR     |     1.0000|
|bn240513152 |DISTPAR2405131|12 23 55.9|-46 49 00|2024-05-13 03:37:02.454|2024-05-13 03:47:08.674|2024-05-13 03:39:13.528|DISTPAR     |     1.0000|
|bn240725487 |UNCERT24072548|15 29 43.9|-46 46 00|2024-07-25 11:39:38.073|2024-07-25 11:49:52.483|2024-07-25 11:41:52.779|UNCERT      |     1.0000|
|bn240731597 |GRB240731597  |00 34 36.0|-46 16 12|2024-07-31 14:17:59.106|2024-07-31 14:28:13.518|2024-07-31 14:20:12.452|GRB         |     1.0000|
|bn240817057 |GRB240817057  |15 08 04.8|-45 48 36|2024-08-17 01:19:49.827|2024-08-17 01:30:04.236|2024-08-17 01:22:07.877|GRB         |     0.7373|
|bn240918664 |UNCERT24091866|21 43 24.0|-45 35 00|2024-09-18 15:54:19.688|2024-09-18 15:58:17.260|2024-09-18 15:56:37.802|UNCERT      |     1.0000|
|bn240511109 |LOCLPAR2405111|11 01 50.4|-45 34 48|2024-05-11 02:34:29.333|2024-05-11 02:37:45.945|2024-05-11 02:36:43.863|LOCLPAR     |     1.0000|
|bn240131678 |TGF240131678  |13 54 04.1|-45 25 00|2024-01-31 16:14:23.709|2024-01-31 16:24:38.121|2024-01-31 16:16:41.648|TGF         |     1.0000|
|bn240721680 |LOCLPAR2407216|12 03 55.2|-45 24 36|2024-07-21 16:17:51.945|2024-07-21 16:26:36.242|2024-07-21 16:18:41.098|LOCLPAR     |     1.0000|
|bn240512098 |DISTPAR2405120|10 47 14.4|-45 24 00|2024-05-12 02:18:15.907|2024-05-12 02:28:30.319|2024-05-12 02:20:31.078|DISTPAR     |     1.0000|
|bn241204895 |TGF241204895  |17 59 55.9|-44 47 00|2024-12-04 21:25:58.049|2024-12-04 21:36:12.463|2024-12-04 21:28:12.372|TGF         |     1.0000|
|bn240512556 |LOCLPAR2405125|23 02 19.9|-44 38 00|2024-05-12 13:18:28.108|2024-05-12 13:22:25.680|2024-05-12 13:20:39.182|LOCLPAR     |     1.0000|
|bn240318180 |GRB240318180  |18 02 09.6|-44 26 24|2024-03-18 04:17:30.288|2024-03-18 04:27:44.698|2024-03-18 04:19:48.914|GRB         |     1.0000|
|bn240724639 |UNCERT24072463|23 22 00.0|-44 10 00|2024-07-24 15:17:55.976|2024-07-24 15:28:02.194|2024-07-24 15:20:07.050|UNCERT      |     1.0000|
|bn240821897 |TGF240821897  |13 52 16.0|-44 07 00|2024-08-21 21:29:19.308|2024-08-21 21:39:33.719|2024-08-21 21:31:31.166|TGF         |     1.0000|
